exec_place_time,id,create_time,symbol,side,exec_algo,exec_complete_time,exec_id,exec_price,exec_quote_amount,exec_base_amount,client_id,amount
1639127724485,11115,2021-12-10 09:15:27.198809+00:00,usdt_husd,buy,twap,1639127728227,b51aca0c-5999-11ec-8538-062c4900ebca,1.0004,11.532,11.5366128,24,11.53203997600847
1639076050739,11114,2021-12-09 18:54:12.867725+00:00,btc_usdt,buy,otchedge,1639076053376,6526e04e-5921-11ec-8538-062c4900ebca,0.0,0.0,0.0,24,1.00240224
1639058075880,11113,2021-12-09 13:54:38.011902+00:00,btc_usdt,buy,otchedge,1639058078569,8b4cec84-58f7-11ec-8538-062c4900ebca,0.0,0.0,0.0,24,1.00239224
1639058052781,11112,2021-12-09 13:54:14.986465+00:00,btc_usdt,buy,otchedge,1639058055647,7d892414-58f7-11ec-8538-062c4900ebca,0.0,0.0,0.0,24,1.00239324
1639050904288,11111,2021-12-09 11:55:07.540291+00:00,btc_usdt,buy,otchedge,1639050908073,d8b36ca2-58e6-11ec-8538-062c4900ebca,0.0,0.0,0.0,24,1.00239324
1639049835775,11110,2021-12-09 11:37:17.869157+00:00,btc_usdt,buy,otchedge,1639049838413,5bd0f530-58e4-11ec-8538-062c4900ebca,0.0,0.0,0.0,24,1.00239224
1638963342534,11109,2021-12-08 11:35:44.713598+00:00,btc_usdt,buy,otchedge,1638963345298,f9d3ad60-581a-11ec-8538-062c4900ebca,0.0,0.0,0.0,24,0.0023922400000000042
1638541665556,11108,2021-12-03 14:27:48.176091+00:00,usdt_husd,buy,twap,1638541669224,2ec33af6-5445-11ec-8538-062c4900ebca,1.0010000000000001,20.004,20.024004000000005,24,20.004028682751336
1638356646378,11107,2021-12-01 11:04:08.961083+00:00,btc_usdt,buy,otchedge,1638356649526,66a6f1ad-5296-11ec-8538-062c4900ebca,0.0,0.0,0.0,24,0.002391240000000004
1638344167701,11106,2021-12-01 07:36:11.676944+00:00,usdt_husd,buy,twap,1638344184446,59b13308-5279-11ec-8538-062c4900ebca,1.0009,20.0039,20.02190351,24,20.003928680621453
1638343376881,11105,2021-12-01 07:22:59.542884+00:00,usdt_husd,buy,twap,1638343392295,81806536-5277-11ec-8538-062c4900ebca,1.0009000000000001,23.0034,23.02410306,24,23.003478523255225
1638340311814,11104,2021-12-01 06:31:54.327989+00:00,eth_usdt,sell,twap,1638340329185,5e941e2a-5270-11ec-8538-062c4900ebca,4723.389999999999,0.0089,42.03817099999999,24,0.008961719999999809
1638340290222,11103,2021-12-01 06:31:32.420739+00:00,btc_usdt,buy,otchedge,1638340292939,51b64624-5270-11ec-8538-062c4900ebca,0.0,0.0,0.0,24,0.002039990000000004
1638339071112,11102,2021-12-01 06:11:13.779734+00:00,usdt_husd,buy,twap,1638339074841,7b1034ba-526d-11ec-8538-062c4900ebca,1.0009000000000001,24.6951,24.71732559,24,24.695162222111176
1638339066005,11101,2021-12-01 06:11:08.635043+00:00,eth_usdt,buy,twap,1638339074841,7805d324-526d-11ec-8538-062c4900ebca,4711.7300000000005,0.0053,24.972169,24,0.005338280000000192
