datetime,open,high,low,close,volume,amount
2022-04-26 07:25:00,40530.7,40530.8,40419.0,40440.1,23417.0,234.17
2022-04-26 07:30:00,40443.5,40536.6,40443.5,40503.0,20447.0,204.47
2022-04-26 07:35:00,40503.1,40512.9,40490.7,40503.3,10569.0,105.69
2022-04-26 07:40:00,40503.3,40519.9,40448.1,40448.1,9365.0,93.65
2022-04-26 07:45:00,40448.2,40506.3,40445.3,40495.6,10200.0,102.0
2022-04-26 07:50:00,40495.6,40508.8,40458.2,40460.0,10186.0,101.86
2022-04-26 07:55:00,40460.1,40470.2,40415.4,40432.4,8180.0,81.8
2022-04-26 08:00:00,40432.4,40593.0,40432.4,40470.1,54450.0,544.5
2022-04-26 08:05:00,40470.0,40530.9,40415.0,40433.0,19795.0,197.95
2022-04-26 08:10:00,40433.0,40474.1,40418.3,40474.0,18782.0,187.82
2022-04-26 08:15:00,40474.0,40474.1,40400.0,40410.1,21550.0,215.5
2022-04-26 08:20:00,40410.0,40494.1,40398.8,40476.0,20454.0,204.54
2022-04-26 08:25:00,40476.0,40582.9,40475.1,40558.4,25896.0,258.96
2022-04-26 08:30:00,40558.4,40664.4,40523.3,40606.4,46402.0,464.02
2022-04-26 08:35:00,40606.4,40830.3,40606.2,40655.9,97795.0,977.95
2022-04-26 08:40:00,40655.9,40656.0,40580.0,40607.7,18883.0,188.83
2022-04-26 08:45:00,40607.6,40664.0,40565.0,40576.7,19047.0,190.47
2022-04-26 08:50:00,40576.7,40599.7,40576.7,40590.0,10014.0,100.14
2022-04-26 08:55:00,40589.9,40595.2,40550.7,40555.6,15401.0,154.01
2022-04-26 09:00:00,40555.7,40590.0,40540.0,40561.3,15595.0,155.95
2022-04-26 09:05:00,40561.3,40568.5,40518.7,40528.4,11453.0,114.53
2022-04-26 09:10:00,40528.5,40552.4,40518.4,40533.4,10551.0,105.51
2022-04-26 09:15:00,40533.3,40597.6,40529.3,40568.4,12294.0,122.94
2022-04-26 09:20:00,40568.5,40635.5,40556.7,40571.8,18270.0,182.7
2022-04-26 09:25:00,40571.8,40599.9,40524.7,40539.4,12106.0,121.06
2022-04-26 09:30:00,40539.5,40578.4,40495.1,40499.7,17202.0,172.02
2022-04-26 09:35:00,40499.7,40511.0,40450.0,40490.0,30227.0,302.27
2022-04-26 09:40:00,40490.0,40558.0,40488.0,40541.0,16665.0,166.65
2022-04-26 09:45:00,40541.0,40566.0,40518.2,40529.2,10719.0,107.19
2022-04-26 09:50:00,40529.2,40536.7,40462.1,40489.8,21225.0,212.25
2022-04-26 09:55:00,40489.7,40493.8,40469.9,40482.8,10917.0,109.17
2022-04-26 10:00:00,40483.0,40503.1,40459.8,40480.9,13074.0,130.74
2022-04-26 10:05:00,40480.9,40499.1,40462.1,40487.0,14012.0,140.12
2022-04-26 10:10:00,40486.9,40510.1,40485.1,40500.0,8149.0,81.49
2022-04-26 10:15:00,40500.0,40550.7,40499.9,40540.2,15235.0,152.35
2022-04-26 10:20:00,40540.3,40555.0,40537.2,40544.2,5853.0,58.53
2022-04-26 10:25:00,40544.2,40564.6,40543.6,40564.6,6525.0,65.25
2022-04-26 10:30:00,40564.5,40610.0,40543.3,40543.3,26845.0,268.45
2022-04-26 10:35:00,40543.3,40543.3,40447.3,40452.7,22760.0,227.6
2022-04-26 10:40:00,40452.6,40495.5,40386.1,40471.3,36316.0,363.16
2022-04-26 10:45:00,40471.3,40534.1,40446.0,40518.8,13704.0,137.04
2022-04-26 10:50:00,40518.8,40537.4,40494.9,40520.1,11166.0,111.66
2022-04-26 10:55:00,40520.2,40542.0,40501.0,40539.2,8301.0,83.01
2022-04-26 11:00:00,40539.2,40592.4,40519.9,40544.3,28330.0,283.3
2022-04-26 11:05:00,40543.1,40590.0,40541.8,40578.8,13829.0,138.29
2022-04-26 11:10:00,40578.8,40587.8,40553.1,40574.8,13610.0,136.1
2022-04-26 11:15:00,40574.8,40586.0,40560.8,40573.3,16313.0,163.13
2022-04-26 11:20:00,40573.3,40577.9,40558.6,40577.8,9050.0,90.5
2022-04-26 11:25:00,40577.8,40663.9,40568.8,40644.1,24941.0,249.41
2022-04-26 11:30:00,40644.1,40644.2,40577.9,40578.0,11041.0,110.41
2022-04-26 11:35:00,40577.9,40595.3,40519.8,40528.2,23098.0,230.98
2022-04-26 11:40:00,40528.1,40539.7,40499.9,40515.6,18453.0,184.53
2022-04-26 11:45:00,40515.7,40530.1,40489.8,40518.5,12219.0,122.19
2022-04-26 11:50:00,40518.4,40535.8,40518.4,40524.7,8843.0,88.43
2022-04-26 11:55:00,40524.7,40552.0,40517.3,40546.0,13762.0,137.62
2022-04-26 12:00:00,40546.1,40619.0,40520.9,40526.2,21721.0,217.21
2022-04-26 12:05:00,40526.2,40564.1,40526.2,40537.0,6733.0,67.33
2022-04-26 12:10:00,40537.1,40537.1,40495.7,40495.7,9282.0,92.82
2022-04-26 12:15:00,40495.7,40524.5,40495.7,40511.3,9290.0,92.9
2022-04-26 12:20:00,40511.3,40580.0,40511.3,40554.9,10098.0,100.98
2022-04-26 12:25:00,40554.9,40600.0,40554.9,40576.0,13748.0,137.48
2022-04-26 12:30:00,40576.1,40620.0,40576.0,40612.2,20740.0,207.4
2022-04-26 12:35:00,40612.1,40620.0,40592.5,40593.0,15677.0,156.77
2022-04-26 12:40:00,40593.0,40635.6,40593.0,40597.4,11832.0,118.32
2022-04-26 12:45:00,40597.4,40614.0,40589.5,40604.5,17904.0,179.04
2022-04-26 12:50:00,40604.5,40604.6,40556.4,40590.8,9597.0,95.97
2022-04-26 12:55:00,40590.8,40612.6,40563.4,40565.9,10355.0,103.55
2022-04-26 13:00:00,40565.9,40610.9,40561.9,40580.4,9197.0,91.97
2022-04-26 13:05:00,40580.4,40610.6,40580.4,40599.5,8252.0,82.52
